,mean_spread,p95_spread,ratio_to_stage3
1_V,0.564122188620935,1.1833915452192796,
2_sigma,0.283751724112779,0.6132772602572881,
3_w_unclipped,0.29268172663250624,0.7801555649177462,
4_w_clipped,0.29268172663250624,0.7801555649177462,1.0
5_realized_vol,0.29397460651678753,0.7802067289481333,
