,qlike,adherence_mad,sharpe,qlike_rank,adherence_rank,sharpe_rank
garch_skewt,0.2385528721627537,0.04880773721954376,0.5692890104361181,3,2,4
egarch_skewt,0.2430340358242894,0.049034755704857415,0.550288540289716,4,3,6
gjr_skewt,0.2279892245312364,0.04774570761630023,0.553378403472681,1,1,5
ewma,0.2966080288745683,0.05346428937983233,0.5834971306496155,6,6,3
rv,0.2987835885438616,0.053564543184897,0.5975162011777733,8,8,2
har,0.236177930385356,0.049258836210125376,0.5358832310306577,2,4,8
rfsv,0.2604294088287417,0.05355598017572563,0.5398226848110741,5,7,7
trailing_rv21,0.2967906239616221,0.05333001717310639,0.6012328705644165,7,5,1
