a,b,dm,p,lag,acf1_diff,loss
garch_skewt,gjr_skewt,0.9565003427577556,0.33881951128496635,5,0.11988085411672826,qlike
garch_skewt,rv,-3.179547782947605,0.0014750504791105623,5,0.0580726625405154,qlike
garch_skewt,har,0.16005969845526885,0.8728340477762253,5,0.015162226985814124,qlike
garch_skewt,rfsv,-1.3013875191359008,0.1931258435608667,5,-0.10543904828072986,qlike
garch_skewt,trailing_rv21,-3.2265167732499593,0.001253068872280716,5,0.054802131665643225,qlike
egarch_skewt,garch_skewt,0.5426401128773053,0.5873776148983452,5,0.08577713110613026,qlike
egarch_skewt,gjr_skewt,1.5937921264085961,0.11098260164214735,5,-0.0026128362816867745,qlike
egarch_skewt,ewma,-2.2173911989261392,0.026596370613087394,5,0.0893286216610804,qlike
egarch_skewt,rv,-2.8818132190949806,0.003953940381873355,5,0.13277656495726084,qlike
egarch_skewt,har,0.49561749006730177,0.620164310564153,5,-0.04449794052504483,qlike
egarch_skewt,rfsv,-0.8064539277814917,0.41998116297249055,5,-0.025924092220352322,qlike
egarch_skewt,trailing_rv21,-2.9667654664534284,0.003009504310588884,5,0.12736847514242552,qlike
gjr_skewt,rv,-2.757081242517123,0.005831985953577146,5,0.12475250576335553,qlike
gjr_skewt,har,-0.6196427797820808,0.5354929953109744,5,-0.08994482712755267,qlike
gjr_skewt,rfsv,-1.2977106832569123,0.1943867711966898,5,-0.031137830216601835,qlike
gjr_skewt,trailing_rv21,-2.8286893411709433,0.004673904432410003,5,0.116829061880985,qlike
ewma,garch_skewt,2.7874252446897465,0.005312871057894242,5,0.05060336166415544,qlike
ewma,gjr_skewt,2.3585098243043,0.018348474107504842,5,0.09172757255973209,qlike
ewma,rv,-0.10979026007306665,0.9125757156820857,5,-0.07633782378534666,qlike
ewma,har,1.849167856182837,0.06443357862321242,5,0.04447717366450289,qlike
ewma,rfsv,1.3982975656128769,0.16202372860975034,5,-0.07024354665743067,qlike
ewma,trailing_rv21,-0.009612434619470535,0.9923305049343965,5,-0.06760436457854067,qlike
rv,trailing_rv21,0.7544357173039791,0.4505876313234154,5,0.025613419620796794,qlike
har,rv,-2.5761275558505217,0.009991378009184038,5,0.12021405767435346,qlike
har,rfsv,-1.0667755380002908,0.2860732072721408,5,0.04683386154682775,qlike
har,trailing_rv21,-2.5542617447367086,0.010641322896490335,5,0.09542815414922529,qlike
rfsv,rv,-1.6315182039181146,0.10278102191782912,5,-0.07754520950094884,qlike
rfsv,trailing_rv21,-1.5136887049996108,0.13010481101235238,5,-0.0701641774908201,qlike
garch_skewt,gjr_skewt,2.075645830119781,0.03792671940450831,5,0.15790733601611365,mse
garch_skewt,rv,-2.2524009374817373,0.02429694654344372,5,-0.18227665531368478,mse
garch_skewt,har,0.5035510587393628,0.6145768918510477,5,0.16211120736131,mse
garch_skewt,rfsv,0.21141886275967708,0.8325604390365162,5,-0.21501467610650488,mse
garch_skewt,trailing_rv21,-2.2522293087018674,0.024307784785742914,5,-0.20770849893106733,mse
egarch_skewt,garch_skewt,-1.5122125432487055,0.13047980108600554,5,0.1399854865462913,mse
egarch_skewt,gjr_skewt,0.47338892192020315,0.6359357319500067,5,-0.29920873917555807,mse
egarch_skewt,ewma,-1.428877744920025,0.15303937502074483,5,0.27810589444371747,mse
egarch_skewt,rv,-2.1455908772670105,0.03190563391933643,5,-0.08761232812283058,mse
egarch_skewt,har,-0.7031243221007953,0.4819782759529363,5,0.08776243812869397,mse
egarch_skewt,rfsv,-1.359299225602112,0.17405178934841548,5,-0.10794765298532948,mse
egarch_skewt,trailing_rv21,-2.129298361113412,0.03322958331697934,5,-0.10094635342284931,mse
gjr_skewt,rv,-2.3075964827430115,0.021021590328748285,5,-0.013362112892046807,mse
gjr_skewt,har,-0.6760792400857435,0.49899033645050417,5,-0.03083370757432918,mse
gjr_skewt,rfsv,-1.025539831063236,0.3051085413230825,5,-0.23733611838017474,mse
gjr_skewt,trailing_rv21,-2.3130382373078233,0.020720536926407407,5,-0.022572611096123962,mse
ewma,garch_skewt,1.205213134806763,0.2281210330423753,5,0.20057749505751568,mse
ewma,gjr_skewt,1.890916946121817,0.0586354319265876,5,0.2720463648985,mse
ewma,rv,-2.3666541378650265,0.017949698153015614,5,-0.27370810271963103,mse
ewma,har,0.7722617854200212,0.4399593940718276,5,0.25380758457591046,mse
ewma,rfsv,0.6456852935259833,0.5184831867044717,5,-0.04218596573392228,mse
ewma,trailing_rv21,-2.383794175682854,0.017135183054356018,5,-0.30787425604637186,mse
rv,trailing_rv21,1.9268066842268694,0.05400372616521376,5,0.014162249887213122,mse
har,rv,-1.9021996001607193,0.05714506509490769,5,-0.033799403203861426,mse
har,rfsv,-0.5926987610986769,0.5533827707139682,5,-0.15112354992300073,mse
har,trailing_rv21,-1.8452139564693604,0.06500642108119359,5,-0.03761358873595933,mse
rfsv,rv,-1.9668263112386521,0.04920323814862293,5,-0.1978624607956051,mse
rfsv,trailing_rv21,-1.9191177243824258,0.054969436825500484,5,-0.2165222244791434,mse
