model,s2_hat_mean,s_hat,corr_factor_mean,corr_factor_sd,corr_pct_mean,emp_logfcerr_var_corrected,emp_logfcerr_var_uncorr,meanVhat_over_meanRV_corrected,meanVhat_over_meanRV_uncorr,bt_realized_vol,bt_mean_leverage
rfsv,0.9364477812453021,0.9677023205745154,1.6937707186305382,0.07211810693390408,0.6937707186305382,0.38101836745306555,0.3897938723586877,0.8615800987295614,0.4937580054795801,0.202059500626287,0.9724410958076144
rfsv_h002,0.9614514351456854,0.980536299759313,1.663027849693536,0.07207132335505134,0.663027849693536,0.3819588242236646,0.389704899915462,0.8502349701960171,0.49611074468016786,0.2041002328905352,0.9816800005647374
rfsv_h005,0.9300196944215611,0.9643752871271438,1.7025368021423375,0.07950815639322022,0.7025368021423375,0.3816459931371407,0.390741977291634,0.8641488104628746,0.4916706103836045,0.2016998872048529,0.9704850686529118
rfsv_h010,0.8839455220159863,0.9401837703427912,1.7696527826323134,0.0935787912585718,0.7696527826323134,0.38447375499227027,0.3970359607672332,0.8808815148183219,0.48089235391563406,0.1980025795390917,0.9511251057530096
rfsv_h015,0.8445998549409509,0.9190211395506367,1.8373604945624677,0.10879555693931313,0.8373604945624677,0.39288264503571996,0.41048267183587767,0.8888976745415514,0.46654757947858605,0.1948066460789171,0.9311475045874248
har,0.40907067385579915,0.63958633026027,1.22709619684511,0.018762570457867722,0.22709619684510995,0.38366976881645815,,0.9152947822487447,0.7385955566650243,0.1987611601663653,0.9789223647792068
gjr_skewt,,,,,,0.36176780612648307,,0.9387450336622634,,0.2021298533124797,0.996089289684131
