strategy,gap_ann,market_exposure,vol_timing,financing,transaction_cost,residual
garch_skewt,0.018120813628123317,0.0012805351340086264,0.018052953697633316,-0.0007723402195098314,-0.0004403349840087842,-1.0408340855860843e-17
garch_normal,0.012222126862904706,-0.0020765294398338405,0.015309511912070422,-0.0005924294443542467,-0.0004184261649776225,-6.938893903907228e-18
gjr_skewt,0.012868129794550306,-0.0004106317283253189,0.014480557725413595,-0.0007109844887450436,-0.0004908117137929283,1.734723475976807e-18
gjr_normal,0.00809945405820546,-0.003327506771154246,0.01243816645278947,-0.0005574970534071692,-0.0004537085700225604,-3.2959746043559335e-17
egarch_skewt,0.014714354836121518,0.0019892193342203016,0.014125842871698225,-0.0008540623736987595,-0.0005466449960982259,-2.6020852139652106e-17
egarch_normal,0.009044689230208125,-0.0016954845025647963,0.011896830969864675,-0.000655153815481005,-0.000501503421610752,1.734723475976807e-18
ewma,0.0308541231648808,0.01121630773757342,0.021472034336158647,-0.0012912275002192762,-0.0005429914086319551,-4.163336342344337e-17
rv,0.03434592803861365,0.012168615886718246,0.024092213357705058,-0.0013385418742341865,-0.0005763593315754568,-6.938893903907228e-18
har,0.007526107155590933,-0.002126039376959093,0.010758343117977614,-0.0006592261318604419,-0.000446970453567111,-3.642919299551295e-17
rfsv,0.010090067360515237,-0.0028037351839913325,0.013726160885303795,-0.000551060860303717,-0.0002812974804935357,2.6020852139652106e-17
rfsv_h002,0.01157561495830077,-0.001896779881218503,0.014334393737864647,-0.0005825749258299873,-0.00027942397251539346,8.673617379884035e-18
rfsv_h005,0.009900209186028436,-0.002997941704514097,0.013723476326203287,-0.0005436404385325141,-0.00028168499712820133,-3.8163916471489756e-17
rfsv_h010,0.006984864509331959,-0.004901983531799654,0.012639763154897059,-0.0004721179216219835,-0.0002807971921434497,-1.214306433183765e-17
rfsv_h015,0.003966594897886935,-0.006865362248237142,0.01149830549521893,-0.00039278625248686264,-0.00027356209660798396,-6.938893903907228e-18
bench_const_lev,-0.02699604763656012,-0.025037313980303233,-0.001935678790949276,-0.0,-2.3054865307585852e-05,-2.42861286636753e-17
bench_uncond_vol,-0.028182342085676035,-0.027190718077316236,-0.0009685639115221274,-0.0,-2.3060096837646618e-05,-2.42861286636753e-17
