strategy,final_equity,cagr,realized_vol,vol_target_gap,mad_roll_vol_from_target,vol_of_vol,sharpe_excess,max_drawdown,skew,kurtosis,avg_annual_turnover,cost_drag_annual,pct_months_at_cap,mean_leverage,financing_total,regt_breach_months
garch_skewt,2212605.7055863123,0.12246016974705864,0.20570497398044743,0.00570497398044742,0.04883513493693876,0.06650476721958375,0.5692890104361181,-0.5431646710332896,-0.25944427514174817,2.5608267220059138,2.1980003079539987,0.002180704880535933,0.0,1.0135027452842875,-25107.262871054307,0.0
garch_normal,1936388.0870553562,0.11680067230885705,0.20145797198602938,0.0014579719860293716,0.0491468706019469,0.06510453078090304,0.5520074445636407,-0.5786371971072997,-0.23157077656889535,2.523641375720841,2.0883975866039304,0.0017953435743980786,0.0,0.9793709638439063,-10817.946544172373,0.0
gjr_skewt,1962425.0947584643,0.11730456175744552,0.2021298533124797,0.002129853312479696,0.04749973181698537,0.06381259957927757,0.553378403472681,-0.5510245212547429,-0.26938682758456234,2.5168928886382775,2.4510980504433553,0.0022032140852197143,0.0,0.996089289684131,-19903.355878098097,0.0
gjr_normal,1760900.1572604734,0.11267439077798946,0.19875411549817412,-0.001245884501825889,0.048439676014967875,0.06327264369446697,0.5387811476009332,-0.5793063302884043,-0.23527967935996233,2.6435838153771,2.2654757698070087,0.0018153958739297407,0.0,0.9663498258799847,-8912.53973304116,0.0
egarch_skewt,2011109.1722223032,0.11828802183579312,0.20662008158792167,0.006620081587921656,0.04866459169422699,0.06684292232113895,0.550288540289716,-0.5484792830402164,-0.27649466709369924,2.674107114847619,2.731349581138273,0.002413732363855356,0.01567398119122257,1.0201670023678893,-19884.057327490806,0.0
egarch_normal,1768897.4615321474,0.11284806494744037,0.2026063608653415,0.002606360865341495,0.04962736309740813,0.06596353695742836,0.5332027264847744,-0.5847703268988502,-0.22920488535298048,2.683691603374157,2.5058632096338767,0.0018974780936471313,0.006269592476489028,0.9826847361242296,-6869.560699329602,0.0
ewma,2817183.8997158892,0.13276971055392117,0.22252091447324182,0.02252091447324181,0.05314321778570149,0.07623941453489026,0.5834971306496155,-0.5029814750804781,-0.31593114001574,2.9794466602106096,2.710090839001802,0.00315419240419832,0.03761755485893417,1.1144910548804852,-71426.66406771456,0.0
rv,3079039.2982183113,0.13651495225788812,0.22314282095093138,0.02314282095093137,0.05365333644091392,0.07592135756461858,0.5975162011777733,-0.48940431622217984,-0.3282863029459668,2.7335535670423625,2.878880597250002,0.0038741023704547063,0.04075235109717868,1.1239737965611465,-83457.34147131954,0.0
har,1734387.5417507018,0.1121848280184925,0.19876116016636539,-0.0012388398336346251,0.04978892213062357,0.06359744220700138,0.5358832310306577,-0.5278134062866964,-0.22050137799010472,2.3239660970072857,2.231493636717874,0.0018881178757207142,0.0,0.9789223647792069,-6951.302625635047,0.0
rfsv,1824091.1765925065,0.11439783237409351,0.20205950062628705,0.002059500626287042,0.05356883884661796,0.07154448557368907,0.5398226848110741,-0.5124736288582278,-0.21456173577660284,3.139160319244986,1.4038668944694381,0.0012163350397062385,0.0,0.9724410958076143,-8161.839823304706,0.0
rfsv_h002,1876585.3300527965,0.11558395655361298,0.20410023289053525,0.004100232890535238,0.05374241195180133,0.07275835503481337,0.541703553974683,-0.5132751936478485,-0.21642755935057195,3.228920959596221,1.3944519126709152,0.0012311347025106372,0.0,0.9816800005647374,-12104.052640490456,0.0
rfsv_h005,1818435.8977326772,0.11427023931151936,0.20169988720485293,0.0016998872048529234,0.053600183353497075,0.07142795671974801,0.539844080622145,-0.5121785586743088,-0.21446718650737082,3.1445153247463975,1.4058044531653868,0.001212180459259795,0.0,0.9704850686529118,-8278.982650684386,0.0
rfsv_h010,1716567.8680801056,0.1118617103601649,0.19800257953909173,-0.0019974204609082835,0.0536589299153612,0.0696035104954423,0.5352011624135252,-0.5138197291584878,-0.20727424552349275,3.0317473839468696,1.4014615773895815,0.0011554019124001798,0.0,0.9511251057530096,-2104.871683681082,0.0
rfsv_h015,1611241.250158128,0.10920843225211119,0.1948066460789171,-0.005193353921082916,0.05421088123774426,0.06841066819257711,0.5284878087795735,-0.520101235861945,-0.194202286709454,2.9647670961588344,1.3653977875200096,0.0010691653915912065,0.0,0.9311475045874249,3688.994213241329,0.0
bench_buy_hold,928168.1397330397,0.08592094541271256,0.26792068596934043,0.06792068596934042,0.09702972580291692,0.14455651061117344,0.369460394640599,-0.8296390234525186,0.23349433488256527,7.508923382967517,0.0,0.0,0.0,1.0,0.0,0.0
bench_const_lev,696832.1706504712,0.07463969201619447,0.19827949906725392,-0.0017205009327460885,0.08960286827808393,0.10573415778631996,0.363076150332232,-0.7110518125046658,0.17660592744588566,6.983213966969885,0.11499498852678347,3.7597665936532974e-05,0.0,0.7464895787213947,31102.363869735287,0.0
bench_uncond_vol,688383.0114150222,0.0739884891962519,0.1945893989153756,-0.005410601084624406,0.0907466348675424,0.10529594700167465,0.3638700140559794,-0.6996098134859043,0.20246905151162775,7.959690167522762,0.11500664358972618,3.5126140218639314e-05,0.0,0.7244153724902069,29211.63637107938,0.0
